Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,25,0.9685,0.9691,0.9955,0.9658,"{'C': 10, 'max_iter': 10000}"
KNN,25,0.9545,0.9568,0.9743,0.9536,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,26,0.9860,0.9845,0.9968,0.9845,"{'C': 10, 'max_iter': 10000}"
KNN,26,0.9720,0.9745,0.9930,0.9808,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,27,0.9720,0.9733,0.9950,0.9799,"{'C': 10, 'max_iter': 10000}"
KNN,27,0.9545,0.9559,0.9907,0.9527,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,28,0.9685,0.9689,0.9899,0.9589,"{'C': 10, 'max_iter': 10000}"
KNN,28,0.9615,0.9614,0.9836,0.9514,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
Logistic Regression,29,0.9825,0.9828,0.9970,0.9728,"{'C': 10, 'max_iter': 10000}"
KNN,29,0.9860,0.9856,0.9881,0.9928,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,30,0.9615,0.9637,0.9927,0.9481,"{'C': 10, 'max_iter': 10000}"
KNN,30,0.9441,0.9429,0.9881,0.9231,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
